Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Protocol_17,Protocol_6,Label
285899.97868499625,2,2,1334.896082399172,702.1795011832234,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,13713.64424886887,6080.854855,15084,1,645,322.5,374.0594872,587,58,15513,5171.0,8587.564206,15084,1,72,92,53.335696693951675,21.95976428453453,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0,0,0,0,0,0,0,0,False,True,1
254364.8342540416,2,2,1142.7535323112415,1071.365766020457,0,0,0.0,0.0,0,0,0.0,0.0,8460.58397830066,0.0,577,577,577,577.0,0.0,577,577,0,0.0,0.0,0,0,40,0,31.09179080728636,60.40358905011414,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0,0,0,0,0,0,0,0,False,True,1
222401.5558618092,2,2,749.693508696873,514.2349625840953,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,8810.185555980659,3693.591716,9243,20,577,288.5,335.8757211,526,51,9773,3257.666667,5185.563165,9243,117,72,92,91.00340585925302,97.33132515733996,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0,0,0,0,0,0,0,0,False,True,1
264794.40347736597,2,2,631.5608158140113,1016.4113434521311,0,0,0.0,0.0,0,0,0.0,0.0,12670.648845981952,0.0,457,457,457,457.0,0.0,457,457,0,0.0,0.0,0,0,40,0,35.67712230143455,50.47576612028141,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0,0,0,0,0,0,0,0,False,True,1
288159.3734346027,2,2,743.0563098051693,724.4287926651436,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,13399.171985236248,3786.768196,9434,20,502,251.0,288.4995667,455,47,9836,3278.666667,5333.075692,9434,41,72,92,74.04989736729891,69.69815893287384,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0,0,0,0,0,0,0,0,False,True,1
214299.6837313769,2,2,1310.0368416711017,842.7822958429404,0,0,0.0,0.0,0,0,0.0,0.0,5610.680411986014,0.0,465,465,465,465.0,0.0,465,465,0,0.0,0.0,0,0,40,0,65.74388353574756,45.8435899775318,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0,0,0,0,0,0,0,0,False,True,1
204089.12759058643,2,2,942.6137483043124,709.1600827592656,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,14677.817643034747,3781.242728,9425,19,531,265.5,304.7630227,481,50,9829,3276.333333,5327.614507,9425,32,72,92,17.09625098818481,15.229281264353391,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0,0,0,0,0,0,0,0,False,True,1
135618.42980419137,2,2,574.0584253498312,756.5111791520876,0,0,0.0,0.0,0,0,0.0,0.0,14019.79508075731,0.0,495,495,495,495.0,0.0,495,495,0,0.0,0.0,0,0,40,0,29.899590106932084,94.89703360133153,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0,0,0,0,0,0,0,0,False,True,1
283405.7477550758,2,2,1205.6102166536807,1001.7049247247769,326,0,108.6666667,188.2161878,112,0,32.25,53.7672453,7651.3173283133765,4130.349755,10260,1,480,240.0,270.1147904,431,49,10602,3534.0,5827.367073,10260,1,72,92,85.28643464094343,43.59622519669663,0,326,56.875,115.4066568,13318.69643,0,0,1,1,0,0,0,1,1,65.0,108.6666667,32.25,0,0,0,0,0,0,3,326,4,129,8192,219,1,20,0,0,0,0,0,0,0,0,False,True,1
286662.2258382869,2,2,1321.4604522686236,692.5802254409552,0,0,0.0,0.0,0,0,0.0,0.0,9658.532906887242,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,74.82927620350435,91.28306374176168,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,False,True,2
